Freq.	V(vout)/V(n001)
3.46736850452530e+003	(-1.28823572447630e+001dB,-7.68839053898732e+001°)
3.54813389233574e+003	(-1.33431802143184e+001dB,-7.75727760199532e+001°)
3.63078054770100e+003	(-1.38291518125580e+001dB,-7.82588988127821e+001°)
3.71535229097171e+003	(-1.43431993151252e+001dB,-7.89423721079018e+001°)
3.80189396320559e+003	(-1.48888043166149e+001dB,-7.96233024973944e+001°)
3.89045144994279e+003	(-1.54701497843310e+001dB,-8.03018043613094e+001°)
3.98107170553495e+003	(-1.60923194624481e+001dB,-8.09779993987879e+001°)
4.07380277804111e+003	(-1.67615737298694e+001dB,-8.16520161561422e+001°)
4.16869383470333e+003	(-1.74857400451045e+001dB,-8.23239895529727e+001°)
4.26579518801591e+003	(-1.82747803281844e+001dB,-8.29940604072393e+001°)
4.36515832240164e+003	(-1.91416411916145e+001dB,-8.36623749600477e+001°)
4.46683592150961e+003	(-2.01035751731402e+001dB,-8.43290844007586e+001°)
4.57088189614873e+003	(-2.11842855567146e+001dB,-8.49943443928859e+001°)
4.67735141287196e+003	(-2.24175997736832e+001dB,-8.56583146011236e+001°)
4.78630092322636e+003	(-2.38541994207146e+001dB,-8.63211582197120e+001°)
4.89778819368444e+003	(-2.55750801075839e+001dB,-8.69830415022553e+001°)
5.01187233627270e+003	(-2.77218859707944e+001dB,-8.76441332929969e+001°)
5.12861383991362e+003	(-3.05783000025212e+001dB,-8.83046045594785e+001°)
5.24807460249770e+003	(-3.48609964435584e+001dB,-8.89646279264356e+001°)
5.37031796370250e+003	(-4.36674762006662e+001dB,-8.96243772107225e+001°)
5.49540873857622e+003	(-4.60952970043084e+001dB,8.97159730429883e+001°)
5.62341325190346e+003	(-3.56656879569722e+001dB,8.90562480260183e+001°)
5.75439937337154e+003	(-3.10609787302895e+001dB,8.83962731293142e+001°)
5.88843655355586e+003	(-2.80667030636941e+001dB,8.77358744072185e+001°)
6.02559586074354e+003	(-2.58433495471572e+001dB,8.70748790416827e+001°)
6.16595001861479e+003	(-2.40737798055843e+001dB,8.64131158072192e+001°)
6.30957344480190e+003	(-2.26034884218079e+001dB,8.57504155368493e+001°)
6.45654229034652e+003	(-2.13454791578030e+001dB,8.50866115892620e+001°)
6.60693448007592e+003	(-2.02458939297096e+001dB,8.44215403173403e+001°)
6.76082975391978e+003	(-1.92690663418220e+001dB,8.37550415381402e+001°)
6.91830970918932e+003	(-1.83901546779970e+001dB,8.30869590043261e+001°)
7.07945784384134e+003	(-1.75911638935754e+001dB,8.24171408769691e+001°)
7.24435960074986e+003	(-1.68586424135643e+001dB,8.17454401995090e+001°)
7.41310241300913e+003	(-1.61822729165275e+001dB,8.10717153725600e+001°)
7.58577575029179e+003	(-1.55539705299332e+001dB,8.03958306291135e+001°)
7.76247116628687e+003	(-1.49672838399509e+001dB,7.97176565095476e+001°)
7.94328234724277e+003	(-1.44169843330037e+001dB,7.90370703357062e+001°)
8.12830516164094e+003	(-1.38987773209347e+001dB,7.83539566831542e+001°)
8.31763771102666e+003	(-1.34090936068242e+001dB,7.76682078505453e+001°)
8.51138038202371e+003	(-1.29449362491993e+001dB,7.69797243248754e+001°)
8.70963589956075e+003	(-1.25037658070773e+001dB,7.62884152412132e+001°)
8.91250938133740e+003	(-1.20834130161347e+001dB,7.55941988353272e+001°)
9.12010839355904e+003	(-1.16820113791218e+001dB,7.48970028874474e+001°)
9.33254300796985e+003	(-1.12979444517760e+001dB,7.41967651552269e+001°)
9.54992586021430e+003	(-1.09298041341371e+001dB,7.34934337937953e+001°)
9.77237220955804e+003	(-1.05763573145835e+001dB,7.27869677606328e+001°)
9.99999999999993e+003	(-1.02365189308434e+001dB,7.20773372028383e+001°)
1.02329299228075e+004	(-9.90933001595467e+000dB,7.13645238242258e+001°)
1.04712854805089e+004	(-9.59393965642801e+000dB,7.06485212295559e+001°)
1.07151930523760e+004	(-9.28959004971867e+000dB,6.99293352431059e+001°)
1.09647819614318e+004	(-8.99560403844485e+000dB,6.92069841986991e+001°)
1.12201845430196e+004	(-8.71137463986999e+000dB,6.84814991982572e+001°)
1.14815362149688e+004	(-8.43635619488014e+000dB,6.77529243359150e+001°)
1.17489755493952e+004	(-8.17005684071362e+000dB,6.70213168847425e+001°)
1.20226443461740e+004	(-7.91203207285721e+000dB,6.62867474431616e+001°)
1.23026877081237e+004	(-7.66187920867642e+000dB,6.55493000382258e+001°)
1.25892541179416e+004	(-7.41923260200708e+000dB,6.48090721830532e+001°)
1.28824955169313e+004	(-7.18375948665946e+000dB,6.40661748858657e+001°)
1.31825673855640e+004	(-6.95515634945872e+000dB,6.33207326082949e+001°)
1.34896288259164e+004	(-6.73314575146397e+000dB,6.25728831708665e+001°)
1.38038426460288e+004	(-6.51747353042254e+000dB,6.18227776038672e+001°)
1.41253754462274e+004	(-6.30790632911609e+000dB,6.10705799421381e+001°)
1.44543977074592e+004	(-6.10422940364453e+000dB,6.03164669627103e+001°)
1.47910838816820e+004	(-5.90624467333381e+000dB,5.95606278646187e+001°)
1.51356124843620e+004	(-5.71376898020133e+000dB,5.88032638906720e+001°)
1.54881661891247e+004	(-5.52663253104414e+000dB,5.80445878914350e+001°)
1.58489319246110e+004	(-5.34467749944817e+000dB,5.72848238321817e+001°)
1.62181009735892e+004	(-5.16775676852057e+000dB,5.65242062440890e+001°)
1.65958690743755e+004	(-4.99573279805740e+000dB,5.57629796214693e+001°)
1.69824365246173e+004	(-4.82847660228213e+000dB,5.50013977673691e+001°)
1.73780082874936e+004	(-4.66586682631335e+000dB,5.42397230903808e+001°)
1.77827941003891e+004	(-4.50778891121107e+000dB,5.34782258560221e+001°)
1.81970085860997e+004	(-4.35413433886632e+000dB,5.27171833965236e+001°)
1.86208713666285e+004	(-4.20479994918474e+000dB,5.19568792833186e+001°)
1.90546071796323e+004	(-4.05968732300759e+000dB,5.11976024669393e+001°)
1.94984459975803e+004	(-3.91870222504559e+000dB,5.04396463893981e+001°)
1.99526231496887e+004	(-3.78175410179643e+000dB,4.96833080744396e+001°)
2.04173794466951e+004	(-3.64875562999857e+000dB,4.89288872013074e+001°)
2.08929613085402e+004	(-3.51962231165859e+000dB,4.81766851678603e+001°)
2.13796208950222e+004	(-3.39427211209397e+000dB,4.74270041489915e+001°)
2.18776162394954e+004	(-3.27262513776932e+000dB,4.66801461563596e+001°)
2.23872113856832e+004	(-3.15460335098348e+000dB,4.59364121054196e+001°)
2.29086765276776e+004	(-3.04013031869775e+000dB,4.51961008956502e+001°)
2.34422881531990e+004	(-2.92913099298902e+000dB,4.44595085097148e+001°)
2.39883291901947e+004	(-2.82153152077378e+000dB,4.37269271370679e+001°)
2.45470891568501e+004	(-2.71725908058547e+000dB,4.29986443272262e+001°)
2.51188643150956e+004	(-2.61624174430424e+000dB,4.22749421775831e+001°)
2.57039578276884e+004	(-2.51840836183908e+000dB,4.15560965602450e+001°)
2.63026799189536e+004	(-2.42368846685130e+000dB,4.08423763919298e+001°)
2.69153480392689e+004	(-2.33201220168905e+000dB,4.01340429504940e+001°)
2.75422870333814e+004	(-2.24331025977749e+000dB,3.94313492411502e+001°)
2.81838293126443e+004	(-2.15751384378048e+000dB,3.87345394149162e+001°)
2.88403150312658e+004	(-2.07455463791895e+000dB,3.80438482413051e+001°)
2.95120922666636e+004	(-1.99436479290035e+000dB,3.73595006367302e+001°)
3.01995172040199e+004	(-1.91687692198266e+000dB,3.66817112495688e+001°)
3.09029543251357e+004	(-1.84202410676729e+000dB,3.60106841023150e+001°)
3.16227766016835e+004	(-1.76973991138690e+000dB,3.53466122907520e+001°)
3.23593656929626e+004	(-1.69995840382846e+000dB,3.46896777396053e+001°)
3.31131121482588e+004	(-1.63261418320654e+000dB,3.40400510136961e+001°)
3.38844156139200e+004	(-1.56764241187913e+000dB,3.33978911832116e+001°)
3.46736850452529e+004	(-1.50497885137578e+000dB,3.27633457413399e+001°)
3.54813389233573e+004	(-1.44455990118635e+000dB,3.21365505721912e+001°)
3.63078054770098e+004	(-1.38632263953734e+000dB,3.15176299666477e+001°)
3.71535229097169e+004	(-1.33020486536047e+000dB,3.09066966835400e+001°)
3.80189396320558e+004	(-1.27614514073611e+000dB,3.03038520533555e+001°)
3.89045144994277e+004	(-1.22408283316904e+000dB,2.97091861215277e+001°)
3.98107170553494e+004	(-1.17395815712821e+000dB,2.91227778282459e+001°)
4.07380277804109e+004	(-1.12571221435317e+000dB,2.85446952216484e+001°)
4.16869383470332e+004	(-1.07928703249811e+000dB,2.79749957012296e+001°)
4.26579518801589e+004	(-1.03462560174930e+000dB,2.74137262882854e+001°)
4.36515832240162e+004	(-9.91671909113321e-001dB,2.68609239202554e+001°)
4.46683592150959e+004	(-9.50370970130702e-001dB,2.63166157658725e+001°)
4.57088189614871e+004	(-9.10668857823159e-001dB,2.57808195581170e+001°)
4.67735141287194e+004	(-8.72512728731975e-001dB,2.52535439420720e+001°)
4.78630092322634e+004	(-8.35850845949988e-001dB,2.47347888348997e+001°)
4.89778819368442e+004	(-8.00632599090751e-001dB,2.42245457952959e+001°)
5.01187233627268e+004	(-7.66808521174749e-001dB,2.37227983999234e+001°)
5.12861383991360e+004	(-7.34330302445596e-001dB,2.32295226244875e+001°)
5.24807460249768e+004	(-7.03150801157332e-001dB,2.27446872272744e+001°)
5.37031796370248e+004	(-6.73224051399100e-001dB,2.22682541331435e+001°)
5.49540873857620e+004	(-6.44505268044589e-001dB,2.18001788161312e+001°)
5.62341325190344e+004	(-6.16950848931448e-001dB,2.13404106789901e+001°)
5.75439937337152e+004	(-5.90518374390600e-001dB,2.08888934281556e+001°)
5.88843655355584e+004	(-5.65166604257193e-001dB,2.04455654427897e+001°)
6.02559586074352e+004	(-5.40855472503795e-001dB,2.00103601367108e+001°)
6.16595001861477e+004	(-5.17546079643274e-001dB,1.95832063121663e+001°)
6.30957344480187e+004	(-4.95200683053017e-001dB,1.91640285045493e+001°)
6.45654229034650e+004	(-4.73782685374745e-001dB,1.87527473172958e+001°)
6.60693448007590e+004	(-4.53256621144773e-001dB,1.83492797463250e+001°)
6.76082975391975e+004	(-4.33588141808715e-001dB,1.79535394935054e+001°)
6.91830970918930e+004	(-4.14743999272652e-001dB,1.75654372687409e+001°)
7.07945784384131e+004	(-3.96692028139329e-001dB,1.71848810803683e+001°)
7.24435960074983e+004	(-3.79401126773855e-001dB,1.68117765136570e+001°)
7.41310241300911e+004	(-3.62841237338383e-001dB,1.64460269972811e+001°)
7.58577575029177e+004	(-3.46983324929645e-001dB,1.60875340577135e+001°)
7.76247116628685e+004	(-3.31799355947048e-001dB,1.57361975615593e+001°)
7.94328234724274e+004	(-3.17262275812746e-001dB,1.53919159459077e+001°)
8.12830516164092e+004	(-3.03345986158217e-001dB,1.50545864368346e+001°)
8.31763771102663e+004	(-2.90025321585149e-001dB,1.47241052562349e+001°)
8.51138038202369e+004	(-2.77276026101459e-001dB,1.44003678172072e+001°)
8.70963589956073e+004	(-2.65074729326330e-001dB,1.40832689082437e+001°)
8.91250938133737e+004	(-2.53398922551338e-001dB,1.37727028665130e+001°)
9.12010839355901e+004	(-2.42226934737962e-001dB,1.34685637405437e+001°)
9.33254300796982e+004	(-2.31537908525282e-001dB,1.31707454426375e+001°)
9.54992586021427e+004	(-2.21311776315180e-001dB,1.28791418913586e+001°)
9.77237220955802e+004	(-2.11529236496373e-001dB,1.25936471444538e+001°)
1.00000000000000e+005	(-2.02171729862651e-001dB,1.23141555225698e+001°)
